uso_id,session_id,timestamp,herramienta,duracion_ms,exito,iteracion
cf093ce4-dacd-4761-9916-186445090db8,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:20:26,get_clima,870,True,1
48ef5c24-31ec-41d0-b6de-a22739a9d743,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:20:29,buscar_lugares,14,True,2
eddda4aa-6d2e-454c-aa07-ecf1907200ed,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:20:36,servicios_cercanos,1790,True,3
4e597f62-6457-4846-8b86-6de55a6aec9f,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:20:42,servicios_cercanos,6309,True,3
c32cf421-91ed-4554-af90-094cd8be1e92,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:20:44,servicios_cercanos,1552,True,3
9f6b50b0-72b7-4292-8a83-3d057baca477,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:22:40,get_clima,905,True,1
21210814-258c-4a96-a7b4-4e966bb9ae84,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:22:42,buscar_lugares,3,True,2
af0d9021-559b-43e7-8ff6-801389f7bee8,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:23:00,servicios_cercanos,11913,True,3
d1641455-112d-40f6-98eb-b49b9624776e,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:23:01,servicios_cercanos,1674,True,3
b6882020-7eb2-493b-9f2f-77e4cea9cc4e,e8b00e32-2442-4f33-b09e-0caad915a8b4,2026-03-24T12:23:07,servicios_cercanos,5488,True,3
